DZ_Nr,Koor_WGS84_N,Koor_WGS84_E,Anmerkungen
9862,48.25497805,12.99935516,Baustelle in 2013 und keine auswertbaren Daten in 2012
9861,48.25032871,13.007709,Baustelle in 2013 und keine auswertbaren Daten in 2012
9863,48.24815231,12.9972138,Baustelle in 2013 und Gerätedefekt zeitweise in 2012
9299,49.72642706,9.99369944,
9124,48.88036278,11.19981158,
9278,49.41010753,10.42566276,
9820,48.22245249,11.58756955,Schleifendefekt in 2013 und Gerätedefekt in 2012
9280,49.50367692,11.44855376,
9279,49.54427466,11.98852485,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9254,48.83634436,12.11816822,Hochwasser im Juni 2013 und neue Zählstelle ab März 2012
9300,48.66870151,12.21209652,
9113,50.2887877,11.91919434,Baustelle in 2013 und Schleifendefekt zeitweise in 2012
9281,49.18658003,12.0644245,
9301,48.08995978,12.1997821,Gerätedefekt zeitweise in 2013
9282,48.77879122,11.7642689,Baustelle in 2013 und in 2012 / Keine Fahrzeugartenanalyse in 2013
9283,47.62922986,10.82075664,
9138,48.1688781,10.83767172,
9114,47.4566986,10.26909767,
9137,47.64885792,10.29545295,
9201,49.94734083,10.07916832,Baustelle zeitweise in 2012
9302,49.81360197,9.97710582,Baustelle in 2013 und in 2012
9148,48.40564064,12.77789839,Ausweichverkehr durch Hochwasser im Juni 2013
9149,48.40296183,12.77494917,Ausweichverkehr durch Hochwasser im Juni 2013
9284,49.32352234,12.84652374,
9109,47.92615692,12.93863496,Hochwasser im Juni 2013
9262,49.24872986,12.74362109,
9121,47.69261768,12.84981641,Hochwasser im Juni 2013
9285,47.67129144,12.76316727,Hochwasser im Juni 2013 und Baustelle zeitweise in 2012
9287,49.71000044,12.15414342,Baustelle im Umfeld zeitweise in 2013
9303,49.82753118,10.60357556,Baustelle zeitweise in 2013 und zeitweise in 2012
9104,49.67374411,12.18202308,Baustelle im Umfeld zeitweise in 2013
9286,49.91105696,11.6586946,Baustelle zeitweise in 2013 und zeitweise in 2012
9304,49.42364236,12.47809957,
9163,47.51244683,11.10432906,Baustelle in 2013 und Gerätedefekt zeitweise in 2012
9352,47.55868124,11.13528422,
9156,48.98837912,10.42527756,
9157,48.78986142,10.68469444,Neue Zählstelle ab März 2012
9288,50.10221543,9.84361322,Baustelle zeitweise in 2012
9949,47.57746588,9.68678168,Baustelle zeitweise in 2012
9289,49.46637811,11.77651937,Gerätedefekt zeitweise in 2013
9290,49.20372508,12.51057928,Hochwasser im Juni 2013
9210,50.28911552,11.29319565,Baustelle zeitweise in 2013 und zeitweise in 2012
9209,50.28837709,11.2952664,Baustelle zeitweise in 2013 und zeitweise in 2012
9206,50.28813905,11.29346755,Baustelle zeitweise in 2013 und zeitweise in 2012
9305,50.24172399,11.38217534,Gerätedefekt zeitweise in 2013 und Baustelle zeitweise in 2012
9572,50.16162666,11.18675095,Gerätedefekt zeitweise in 2013 und Baustelle zeitweise in 2012
9571,50.15907354,11.18318646,Gerätedefekt zeitweise in 2013 und Baustelle zeitweise in 2012
9108,50.53944787,10.13809284,
9291,49.95001461,10.27930126,Gerätedefekt zeitweise in 2013
9237,50.16512452,11.00313071,
9573,50.16008592,11.18659692,Gerätedefekt zeitweise in 2013 und Baustelle zeitweise in 2012
9292,49.43291464,11.81857942,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9311,48.37553203,11.00709615,Neue Zählstelle ab März 2012
9293,48.56878471,11.29714434,
9294,50.06015543,11.78882997,Baustelle in 2013 und zeitweise in 2012
9153,50.08483191,12.24131448,Gerätedefekt zeitweise in 2012
9135,47.99556345,12.53520535,
9144,47.83731738,12.99250794,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
9810,48.23001988,11.45642739,Schleifendefekt zeitweise in 2013 und zeitweise in 2012
